"Text","Category","Label"
"@ sprintcare mistakenly reported my wife's number stolen from a phone purchased by '@ AirtelSupport and used with '@ AirtelSupport. That doesn't help anyone, including '@ TelkomHelp, which we signed up to. Its fraud and the consumer must pay.","Broadcasting and telecommunications","8"
"@ sprintcare mistakenly reported my wife's number as stolen from a phone purchased and used with '@ AirtelSupport, without helping anyone, including '@ TelkomHelp, to delete it.","Broadcasting and telecommunications","8"
"@sprintcare wrongfully reported my wife's imei number getting stolen with a phone bought from and used with '@AirtelSupport no help in getting this removed from anyone including '@TelkomHelp that we were signing up with. Communications stolen and the consumer had to pay. Phone was 3yrs on Safaricom","Broadcasting and telecommunications","8"
"@sprintcare wrongfully reported my wife's imei computer number as stolen being from her a phone bought out from and used with '@AirtelSupport no help in my getting this removed from anyone including '@TelkomHelp that company we were signing up with. Its outright fraud and the consumer has shit to pay. Phone was 3yrs app on free Safaricom","Broadcasting and telecommunications","8"
"We wrongfully reported my mom's imei number as stolen from a phone bought from Safaricom used with '@sprintcare no progress in getting info removed of anyone thru '@AirtelSupport that we tried signing up with. Its fraud and the consumer has to pay. Mom was 3yrs on Safaricom","Broadcasting and telecommunications","8"
"Wow it takes all kinds, crazy folks out there. And her language proved she ant no lady  ","Broadcasting and telecommunications","8"
"Wow, it takes all sorts of crazy people out there, and her language proved she's not a lady.","Broadcasting and telecommunications","8"
"And her language proved that she is not a lady.","Broadcasting and telecommunications","8"
"Wow it takes special kinds, crazy folks out there. And her language proved she ant no lady","Broadcasting and telecommunications","8"
"Wow it takes all kinds, crazy folks out there. And apparently her sign language proved she could ant no lady","Broadcasting and telecommunications","8"
"Wow it comes all kinds, crazy women out there. And her language proved she ant no ego","Broadcasting and telecommunications","8"
"Facebook Tries to Contain Damage as Safaricom Joins Ad Boycott - WSJ wsj.com/articles/facebâ€¦","Broadcasting and telecommunications","8"
"Facebook tries to contain damage as Safaricom joins ad boycott - WSJ wsj.com / articles / facebook.com / facebook.com","Broadcasting and telecommunications","8"
"Facebook tries to contain damage as Safaricom joins boycott - WSJ WSj.com / articles / faceb...","Broadcasting and telecommunications","8"
"Facebook Has to Contain Damage as Safaricom Joins Ad Boycott - Copyright wsj.com/articles/facebâ€¦","Broadcasting and telecommunications","8"
"Facebook campaign Tries Stupid to Contain Sexual Damage Known as Safaricom Joins Ad Boycott - WSJ wsj. com / s articles / x faceb â€¦","Broadcasting and telecommunications","8"
"Facebook Bag Will Contain Damage What Safaricom Could Ad Boycott - WSJ wsj.com/articles/faceb...","Broadcasting and telecommunications","8"
"you know iâ€™m lonely bc i was just flirting with my Safaricom agent so hard on the phone .  we were really gigging and shit he sounded fine as hell tbh","Broadcasting and telecommunications","8"
"You know I'm lonely bc I just flirted with my Safaricom agent so hard on the phone. We were really giggling and shit he sounded good as hell tbh","Broadcasting and telecommunications","8"
"you know i'm lonely bc i was just flirting with my verification agent so hard on the phone. we were really gigging and shit he soebfine as hell tbh","Broadcasting and telecommunications","8"
"you see iâ€™m lonely bc i was just flirting with my Safaricom friend so hard up the phone.  we were really gigging and shit he sounded fine as hell tbh","Broadcasting and telecommunications","8"
"you know i â€™ m lonely bc i was probably just flirting with my Safaricom agent so hard once on the phone. But we were actually really gigging and said shit he sounded really fine as hell the tbh","Broadcasting and telecommunications","8"
"you know iâ€™m lonely bc i was just flirting with online Safaricom boyfriend so hard onto my phone. we were just gigging and shit he sounded fine then hell tbh","Broadcasting and telecommunications","8"
"maaaan fuck Safaricom a bitch is abt to go tf off...like my phone isnâ€™t even activated wit them but theyâ€™re currently taking over my phone somehow and not letting me use it when iâ€™m off of wifi???. ","Broadcasting and telecommunications","8"
"maaaan fuck Safaricom a bitch is abt to go tf off... like my phone is not even activated wit them, but they are currently taking my phone somehow and do not allow me to use it when I'm off of wifi???.","Broadcasting and telecommunications","8"
"maaaan fuck verify a bitch is abt to go tf off... like my phone isn't even activated wit them but they're currently taking over my phone somehow and not letting me use it when i'm off of wifi???.","Broadcasting and telecommunications","8"
"maaaan fuck Safaricom a bitch is abt to go bloody off...like my phone is even activated wit them but their currently taking over my phone somehow and not letting u reset it when iâ€™m off of wifi???.","Broadcasting and telecommunications","8"
"a maaaan fuck Safaricom a bitch is abt to go some tf com off... like my phone battery isn â€™ 2 t even fully activated wit them but they â€™ re currently taking authority over my phone somehow and not yet letting me use it when i decided â€™ could m off of wifi???.","Broadcasting and telecommunications","8"
"maaaan fuck Safaricom the idiot is abt to cut tf off...like my phone isnâ€™t getting activated wit all but theyâ€™re currently looking over my phone somehow though not letting me have that when iâ€™m off of wifi???.","Broadcasting and telecommunications","8"
"@AirtelSupport Weâ€™ve been with Safaricom for over 15 years and had our ups and downs with service but would not change at all. And during these crazy times they stepped it up by giving alittle extra data to give us one less thing to worry about and we appreciate it greatly!","Broadcasting and telecommunications","8"
"@ AirtelSupport We've been at Safaricom for over 15 years and had our ups and downs with the service, but we wouldn't change at all. And in these crazy times, they've amplified it by giving us a few extra bits of data to make us one less thing to worry about, and we appreciate it a lot!","Broadcasting and telecommunications","8"
"@ AirtelSupport We've been with Safaricom for more than 15 years, and we've had our ups and downs with service, but they haven't changed at all.","Broadcasting and telecommunications","8"
"@AirtelSupport Weâ€™ve been with Safaricom for over 15 years and had our ups and stops with service but would not change at once. And for these crazy times they stepped it up by giving alittle less data to offer us one less thing to worry about and we appreciate it greatly!","Broadcasting and telecommunications","8"
"@AirtelSupport... We â€™ ve been with Safaricom for over 15 years and had our ups and downs with service but things would not change at all. And during these very crazy war times they even stepped it up by giving alittle it extra data units to give us into one less thing to worry me about and we appreciate it both greatly!","Broadcasting and telecommunications","8"
"@AirtelSupport have been paying Safaricom for over 7 years but had our comes and downs with service but would not change at all. And during these crazy hours they stepped it up by giving alittle extra data to give us one small thing we worry about and we appreciated it greatly!","Broadcasting and telecommunications","8"
"Too many Americans are conspiracy nuts- you know, mainstream '@gop","Broadcasting and telecommunications","8"
"Too many Americans are conspiracy theorists, you know, mainstream '@ gop","Broadcasting and telecommunications","8"
"Too many Americans are conspirators, you know, mainstream '@ gop","Broadcasting and telecommunications","8"
"Too often Americans are conspiracy nuts- you know, mainstream '@gop","Broadcasting and telecommunications","8"
"Â« Too many Americans are conspiracy theories nuts - you know, mainstream like '@gop","Broadcasting and telecommunications","8"
"very few Americans are conspiracy nuts- you know, mainstream '@gop","Broadcasting and telecommunications","8"
"Airtel is a heart and kidney","Broadcasting and telecommunications","8"
"Airtel is heart and kidney","Broadcasting and telecommunications","8"
"Airtel is a heart and kidney","Broadcasting and telecommunications","8"
"Airtel is a heart and brains","Broadcasting and telecommunications","8"
"Airtel which is a heart and kidney","Broadcasting and telecommunications","8"
"Airtel is a heart and an","Broadcasting and telecommunications","8"
"@Safaricom switching phone carrier, you guys are toggling my cellular speed the past three weeks. Iâ€™m paying for unlimited 4G and Iâ€™m not getting that what so ever.","Broadcasting and telecommunications","8"
"@ Safaricom switching phone provider, you guys have been switching my mobile speed for the past three weeks. I'm paying for unlimited 4G and I'm not getting that whatever.","Broadcasting and telecommunications","8"
"@ Safaricom switching phone carrier, you guys are togging my cell speed the past three weeks. I'm paying for unlimited 4G and I'm not getting that what so ever.","Broadcasting and telecommunications","8"
"@Safaricom switching cell carrier, sorry guys are toggling my cellular speed the past three weeks. Try paying for unlimited 4G and Iâ€™m barely getting that what so ever.","Broadcasting and telecommunications","8"
"@Safaricom switching phone carrier, you guys are toggling into my cellular speed during the past three weeks. I clearly â€™ m considering paying for some unlimited 4G and then I â€™ YOU m not getting that what and so ever.","Broadcasting and telecommunications","8"
"@Safaricom switching my<unk>, and guys are sucking my cellular speed the past three weeks. Iâ€™m paying monthly unlimited 4G and Iâ€™m not getting that what and ever.","Broadcasting and telecommunications","8"
"Safaricom is finna hear my mouth tomorrow morning bc why im not getting my calls & why my network connection acting an ass!!!???","Broadcasting and telecommunications","8"
"Safaricom is finna hear my mouth tomorrow bc why im not getting my calls & why my network connection acting an ass!!!???","Broadcasting and telecommunications","8"
"Safaricom is finna hear my mouth tomorrow bc why im not getting my calls & why my network connection acting an ass!!???","Broadcasting and telecommunications","8"
"Safaricom is finna hear my mouth tomorrow morning bc why im not getting my calls & why my network company was an ass!!!???","Broadcasting and telecommunications","8"
"So Safaricom Wireless is finna hear round my mouth tomorrow morning bc just why im not still getting my calls & why my network connection acting me an ass!!!???","Broadcasting and telecommunications","8"
"Safaricom is finna hear my data tomorrow tonight bc why im not getting my calls & how my network connection was an ass!!!???","Broadcasting and telecommunications","8"
"Thanks '@Safaricom for the free 15G of mobile hotspot this month . ","Broadcasting and telecommunications","8"
"Thank you '@ Safaricom for the free 15G mobile hotspot this month.","Broadcasting and telecommunications","8"
"Thanks '@ Safaricom for the free 15G of mobile hotspot this month.","Broadcasting and telecommunications","8"
"Thanks '@Safaricom all the free 15G of mobile hotspot this month.","Broadcasting and telecommunications","8"
"Thanks '@Safaricom for the free 15G launch of This mobile hotspot this month.","Broadcasting and telecommunications","8"
"Thanks '@Safaricom for the free 15G of my hotspot for month.","Broadcasting and telecommunications","8"
"Iâ€™m going back to Telkom Safaricom sucks","Broadcasting and telecommunications","8"
"I'm going back to Telkom Safaricom sucks","Broadcasting and telecommunications","8"
"I go back to the Telkom Safaricom sucks","Broadcasting and telecommunications","8"
"Iâ€™m going back to white-mobile Safaricom sucks","Broadcasting and telecommunications","8"
"I â€™ m going for back to t - S mobile Safaricom sucks","Broadcasting and telecommunications","8"
"Iâ€™m going back with Telkom Safaricom sucks","Broadcasting and telecommunications","8"
"Small Business Shout Out to: Tower Bar, right here in City Heights!  '@Safaricom  ","Broadcasting and telecommunications","8"
"Small businesses shout: Tower Bar, here in City Heights! '@ Safaricom","Broadcasting and telecommunications","8"
"Small business shouts: Tower Bar, right here in City Heights! '@ Safaricom","Broadcasting and telecommunications","8"
"Small Business Shout Out to: The Bar, right over in City Heights!  '@Safaricom","Broadcasting and telecommunications","8"
"Small Business Talk Shout goes Out to : Tower Bar, Stop right here here in City Heights! '@Safaricom","Broadcasting and telecommunications","8"
"Club Business Shout Out to: Tower Bar, right standing in City B! '@Safaricom","Broadcasting and telecommunications","8"
"This is ridiculous pic.twitter.com/4TNeHzobjS","Broadcasting and telecommunications","8"
"This is ridiculous pic.twitter.com / 4TNeHzobjS","Broadcasting and telecommunications","8"
"This is ridiculous pic.google.com / 4TNeHzobjS","Broadcasting and telecommunications","8"
"This is ridiculous pic.twitter.com/4TNeHzobjS","Broadcasting and telecommunications","8"
"W This is ridiculous pic.twitter.com/4TNeHzobjS","Broadcasting and telecommunications","8"
"Thanks '@davematthews and '@Safaricom for the free living room show and helping small business like the one I work Work '@LandmarkInnBar","Broadcasting and telecommunications","8"
"Thank you '@ davematthews and '@ Safaricom for the free living room show and helping small businesses like the one I work in '@ LandmarkInnBar","Broadcasting and telecommunications","8"
"Thanks to '@ davematthews and '@ Safaricom for a free show in the living room and helping small businesses like the one I work with '@ Landmarket Bar","Broadcasting and telecommunications","8"
"Thanks '@davematthews and '@Safaricom for the free living room show and open small business in the one I work Work '@LandmarkInnBar","Broadcasting and telecommunications","8"
"A Thanks TO '@davematthews and '@Safaricom again for the free living room show and about helping small business like the last one I work Work With '@LandmarkInnBar","Broadcasting and telecommunications","8"
"Thanks '@davematthews and '@Safaricom for the terrific living room products for helping small business like the one I created Work '@LandmarkInnBar","Broadcasting and telecommunications","8"
"You pay for most expensive '@Safaricom plan just for the networks to be backed up. no way I should have full bars and can barely send an iMessage","Broadcasting and telecommunications","8"
"You pay for the most expensive '@ Safaricom plan just to secure the networks. I definitely shouldn't have full beams and can barely send an iMessage","Broadcasting and telecommunications","8"
"You're paying for the most expensive '@ Safaricom plan just to have networks booked.","Broadcasting and telecommunications","8"
"You pay for most expensive '@Safaricom plan just so the networks to be backed forever. no way I already have full bars and can barely send an iMessage","Broadcasting and telecommunications","8"
"50 You pay for most expensive wireless '@Safaricom plan just only for the networks now to be completely backed up. no way I should have full bars and can just barely send an iMessage","Broadcasting and telecommunications","8"
"now pay for their expensive '@Safaricom plan just for which networks<unk> be backed up. no way I should have full bars and can barely play an iMessage","Broadcasting and telecommunications","8"
"Safaricom, Sprint & Telkom customers sucking dick so they can bring back there LTE pic.twitter.com/A3OfopNvsf","Broadcasting and telecommunications","8"
"Safaricom, Sprint & Telkom customers are sucking up so they can bring LTE back there pic.twitter.com / A3OfopNvsf","Broadcasting and telecommunications","8"
"Safaricom and Telkom customers suck money back LTE pic.cc / A3OfopNvsf","Broadcasting and telecommunications","8"
"Safaricom, Sprint & Telkom customers sucking dick so they can bring back there LTE pic.twitter.com/A3OfopNvsf","Broadcasting and telecommunications","8"
"1 Safaricom, Sprint & Telkom customers sucking dick so they can bring back there LTE pic.twitter.com/A3OfopNvsf","Broadcasting and telecommunications","8"
"Too funny!  The day after I installed my new '@Safaricom call filtering app, I get a robo call that came right through!  Great app.","Broadcasting and telecommunications","8"
"Too funny! The day after I installed my new '@ Safaricom call filtering app, I got a robo call that came straight through! Great app.","Broadcasting and telecommunications","8"
"Too funny! The day after I installed my new '@ Safaricom call filtering app, I get a robo call that came right through! Great app.","Broadcasting and telecommunications","8"
"Too funny!  The day after E installed my new '@Safaricom call filtering app, e got a robo call that came right through!  Great app.","Broadcasting and telecommunications","8"
"Too s funny!... The other day shortly after I installed my new '@Safaricom call filtering app, I get a robo r call that came on right through! Great app.","Broadcasting and telecommunications","8"
"really funny! The morning after I installed my new phone call filtering package, I get a robo call that came right through! Great app.","Broadcasting and telecommunications","8"
"Safaricom is gonna charge extra for 5G? ðŸ¤¨ ATT looking real nice right about now lmao","Broadcasting and telecommunications","8"
"Safaricom will charge extra for 5G? ATT looks really nice right now lmao","Broadcasting and telecommunications","8"
"Is Safaricom going to charge extra for 5G? ATT looks really good right now lmao","Broadcasting and telecommunications","8"
"Safaricom is gonna charge extra by 5G? ðŸ¤¨ ATT looking real nice right around now lmao","Broadcasting and telecommunications","8"
"If Safaricom Wireless is gonna charge extra batteries for 5G? [UNK] ATT looking real nice is right about now lmao","Broadcasting and telecommunications","8"
"Safaricom also gonna charge extra for 5G? <unk> ATT looking real nice right for me lmao","Broadcasting and telecommunications","8"
"Best Unlimited Data Plans: Telkom, Airtel,Â Safaricom chrisgreenhoughblog.wordpress.com/2020/08/11/besâ€¦","Broadcasting and telecommunications","8"
"Best Unlimited Data Plans: Telkom, Airtel, Safaricom chrisgreenhoughblog.wordpress.com / 2020 / 08 / 11 / be...","Broadcasting and telecommunications","8"
"Best Unlimited Data Planes: Telkom, Airtel, Safaricom chrisgreenhoughoughblog.wordpress.com / 2020 / 08 / 11 / bes...","Broadcasting and telecommunications","8"
"Best Unlimited Flex Plans: Telkom, Airtel,Â Safaricom put.wordpress.com/2020/08/11/besâ€¦","Broadcasting and telecommunications","8"
"Best Unlimited Business Data Service Plans : China T - Mobile, US AT & F T, Safaricom chrisgreenhoughblog. wordpress. com / September 2020 / 08 / 11 / 03 bes â€¦","Broadcasting and telecommunications","8"
"Know Your Mobile Plans: Safaricom-Mobile, P&T, Safaricom chrisgreenhoughblog.wordpress.com/2020/08/11/bes...","Broadcasting and telecommunications","8"
"@foxnews leading advertisers to boycott:. . '@ProcterGamble . '@amazon. '@KraftHeinzCo. '@pfizer. '@BestBuySupport. '@SandalsResorts. '@PetSmart . '@LibertyMutual . '@Allstate . '@Progressive . '@Safaricom . '@AbbottGlobal . '@GM . '@Carvana . '@noom . '@Novartis . . youtu.be/eMEcrTBMdjY","Broadcasting and telecommunications","8"
"@ foxnews leads advertisers to boycott:.. '@ ProcterGamble. '@ amazon. '@ KraftHeinzCo. '@ pfizer. '@ BestBuySupport. '@ SandalsResorts. '@ PetSmart. '@ LibertyMutual. '@ Allstate. '@ Progressive. '@ Safaricom. '@ AbbottGlobal. '@ GM. '@ Carvana. '@ noom. '@ Novartis... youtu.be / eMEcrTBMdjY","Broadcasting and telecommunications","8"
"Pat just told me to stop talking shit about '@Safaricom on Twitter because theyâ€™re manipulating our service! I have both cell & home package with them.   ","Broadcasting and telecommunications","8"
"Pat just told me to stop talking shit on Twitter about '@ Safaricom because they are manipulating our service! I have both mobile phone and home package with me.","Broadcasting and telecommunications","8"
"Pat just told me to stop saying shit about '@ Safaricom on Twitter because they are manipulating our service!","Broadcasting and telecommunications","8"
"Pat just told her to stop talking shit about '@Safaricom on Twitter because theyâ€™re manipulating our politics! I have both cell & home package with Dan.","Broadcasting and telecommunications","8"
"Because Pat had just told me to stop not talking that shit about '@Safaricom on Twitter because they hear â€™ may re manipulating our customer service! I have both cell & home package with them.","Broadcasting and telecommunications","8"
"Pat just told me they stop talking shit in '@Safaricom on Twitter as theyâ€™re manipulating our service! I have both work & home package with them.","Broadcasting and telecommunications","8"
"Safaricom Joins Boycott of Facebook and Instagram Ads thestreet.com/investing/veriâ€¦ via '@'@mcoreygoldman","Broadcasting and telecommunications","8"
"Safaricom joins boycott of Facebook and Instagram ads thestreet.com / investing / veri... via '@ mcoreygoldman","Broadcasting and telecommunications","8"
"Safaricom Joins Boycott of Facebook and Instagram Ads thestreet.com / investing / veri... via '@ mcoreygoldman","Broadcasting and telecommunications","8"
"Safaricom Joins Boycott On Facebook and Bans Ads thestreet.com/investing/veriâ€¦ via '@'@mcoreygoldman","Broadcasting and telecommunications","8"
"For Safaricom Joins No Boycott of Kids Facebook and Other Instagram Ads at thestreet. com / investing / veri â€¦ accessed via '@ '@mcoreygoldman","Broadcasting and telecommunications","8"
"Safaricom Fund Boycott Twitter Facebook YouTube Instagram Ads Visit.com/investing/veri... via '@'@mcoreygoldman","Broadcasting and telecommunications","8"
"(: iâ€™ve called Safaricom for three days trying to get a technician bc my wifi isnâ€™t working and i canâ€™t get on my zoom classes or do any desktop hw and iâ€™ve been on hold for two hours everytime and i donâ€™t have time to wait 3+ hours to speak to rep. '@Safaricomfios fix ur shit !!!","Broadcasting and telecommunications","8"
"(: I called Safaricom for three days trying to get a technician because my wifi doesn't work and I can't go to my zoom courses or do any desktop HW and I've always been on hold for two hours and I don't have time to wait more than 3 hours to speak to representatives. '@ Safaricomfios fix ur shit!!!","Broadcasting and telecommunications","8"
"(: i've called verification for three days trying to get a technique bc my wifi isn't work and i can't get on my zoom classes or do any desktop hw and i've been on hold for two hours everyday and i don't have time to wait 3 + hours to speak to rep. '@ Safaricomfios fix ur shit!!","Broadcasting and telecommunications","8"
"(: have called Safaricom for three days trying to talk a technician bc my wifi isnâ€™t working and i canâ€™t get on my zoom classes or do any calls hw and iâ€™ve been getting hold for two hours everytime and i donâ€™t have time but be 3+ hours to speak another rep. PLEASE fix ur shit!!!","Broadcasting and telecommunications","8"
"( : i â€™ ve just called Safaricom for three entire days trying unsuccessfully to get a technician bc my wifi isn â€™ t working and now i can â€™ t get on double my zoom into classes or not do any desktop assignments hw and i â€™ ve been on hold for approximately two hours everytime already and i don â€™ t have time to wait 3 + hours to speak to rep. '@Safaricomfios fix ur shit!!!","Broadcasting and telecommunications","8"
"(: iâ€™ve called Safaricom for three days trying a contact a technician bc my wifi is working and i canâ€™t get on until previous classes then do work desktop hw and iâ€™ve been on it for two hours everytime and i donâ€™t have time to visit 3+ hours to speak for rep. '@Safaricomfios fix ur shit!!!","Broadcasting and telecommunications","8"
"idk what Safaricom got going on but they better get they shit together ASAP","Broadcasting and telecommunications","8"
"idk what Safaricom has done, but they better get it together as soon as possible","Broadcasting and telecommunications","8"
"idk what Safaricom got going on but they better get they shit together ASAP","Broadcasting and telecommunications","8"
"idk what Safaricom got going on but they better get they heads together ASAP","Broadcasting and telecommunications","8"
"idk what Safaricom really got going on but thought they would better get they shit together ASAP","Broadcasting and telecommunications","8"
"idk what Safaricom got going on but they better get my shit together over","Broadcasting and telecommunications","8"
"Hey '@SafaricomSupport '@Safaricom '@AirtelSupport Iâ€™ve been getting spotty to no cell signal in my house for over a year. I could make calls at work but now that Iâ€™m home this is a huge problem. Been in chat with you for 3.5 hours today, 3 diff reps ghosted me with no resolution. pic.twitter.com/QsaIpFgc7d","Broadcasting and telecommunications","8"
"Hello '@ SafaricomSupport '@ Safaricom '@ AirtelSupport I've always been spotty on any cell phone signal in my house for over a year. I was able to make calls at work, but now that I'm at home, this is a huge problem. Chatting to you for 3.5 hours today, I was ghosted by 3 diff reps with no resolution. pic.twitter.com / QsaIpFgc7d","Broadcasting and telecommunications","8"
"Hey '@ SafaricomSupport '@ Safaricom '@ AirtelSupport I've been getting spotty to no cell signal in my house for over a year. I could make calls at work but now that I'm home this is a huge problem. Been in chat with you for 3.5 hours today, 3 diff reps ghosted me with no resolution. pic.facebook.com / QsaIpFgc7d","Broadcasting and telecommunications","8"
"Hey RhandlerR RhandlerR RhandlerR Iâ€™ve been getting spotty to no cell signal in my house for over a year. I could make calls at work but now that Iâ€™m home this is a huge problem. Been in chat with you for 3.5 hours today, 3 diff reps ghosted me with no resolution. pic.twitter.com/QsaIpFgc7d","Broadcasting and telecommunications","8"
"with Hey RhandlerR RhandlerR RhandlerR Iâ€™ve been getting spotty to no cell signal in my house for over a year. I could make calls at work but now that Iâ€™m home this is a huge problem. Been in chat with you for 3.5 hours today, 3 diff reps ghosted me with no resolution. pic.twitter.com/QsaIpFgc7d","Broadcasting and telecommunications","8"
"this","Broadcasting and telecommunications","8"
"They took my phone number from me. Thanks '@Safaricom I was rey pay the bill yall couldn't jus give me more time tf","Broadcasting and telecommunications","8"
"They took my phone number, thank you '@ Safaricom, I was unable to pay the bill and they couldn't give me any more time.","Broadcasting and telecommunications","8"
"Thanks '@ Safaricom I was really pay the bill yall couldn't jus give me more time tf","Broadcasting and telecommunications","8"
"They took my phone number from me. Thanks '@Safaricom I was rey pay the bill yall r jus give me enough time tho","Broadcasting and telecommunications","8"
"They quickly took my house phone and number from me. Thanks the '@Safaricom I was thinking rey pay the bill yall couldn't we jus give me more time tf","Broadcasting and telecommunications","8"
"They took my phone information from me. Thanks you I could rey pay the bill yall just't jus give me more information tf","Broadcasting and telecommunications","8"
"Hey '@Safaricomfios '@Safaricom '@SafaricomSupport . Why is my internet speed 387Mbps down\357Mbps up when I pay for 1Gig symmetric services?  . . speedtest.net/result/c/db64aâ€¦","Broadcasting and telecommunications","8"
"Hello '@ Safaricomfios '@ Safaricom '@ SafaricomSupport. Why does my Internet speed drop 387Mbps\ 357Mbps when I pay for 1 gig symmetrical services?.. speedtest.net / result / c / db64a...","Broadcasting and telecommunications","8"
"Hey '@ Safaricomfios '@ SafaricomSupport. Why does my internet speed drop to 387Mbit / s when I pay for 1Gig services?. speedtest.net / result / c / dba...","Broadcasting and telecommunications","8"
"Hey guys '@Safaricomfios '@Safaricom. Why is my internet speed with f\357Mbps gone while I pay for 1Gig symmetric services? .. speedtest.net/result/c/db64aâ€¦","Broadcasting and telecommunications","8"
"Hey '@Safaricomfios '@Safaricom You '@SafaricomSupport. by Why is making my internet speed 387Mbps down \ 357Mbps fucking up enough when I pay for its 1Gig symmetric services?.. at speedtest. net / end result / page c / db64a... â€¦","Broadcasting and telecommunications","8"
"<unk> '@Safaricomfios Dear '@Safaricom. Why is my data speeds 387Mbps down\357Mbps out when you surf for 1Gig symmetric data?.. under.net/result/c/db64a...","Broadcasting and telecommunications","8"
"Safaricom so fckin stupid","Broadcasting and telecommunications","8"
"Safaricom so crazy stupid","Broadcasting and telecommunications","8"
"Safaricom so fckin stupid","Broadcasting and telecommunications","8"
"Safaricom so fuckin stupid","Broadcasting and telecommunications","8"
"Safaricom so fckin a stupid","Broadcasting and telecommunications","8"
"Safaricom so stupid stupid","Broadcasting and telecommunications","8"
"And maybe Iâ€™ll just keep retweeting this over and over again until someone gets their head out of their ass","Broadcasting and telecommunications","8"
"And maybe I'll retweet that over and over again until someone takes their head out of their ass.","Broadcasting and telecommunications","8"
"And maybe I'll just repeat it over and over again until someone gets their head out of their ass","Broadcasting and telecommunications","8"
"And maybe Iâ€™ll just keep explaining this over and over again until someone gets their head ass of their ass","Broadcasting and telecommunications","8"
"Or And maybe I â€™ ll happily just keep retweeting this over and over again until maybe someone gets their head pulled out of their stupid ass","Broadcasting and telecommunications","8"
"And maybe are gonna keep retweeting this over and over again until somebody gets their head out of our ass","Broadcasting and telecommunications","8"
"Thank you '@davematthewsbnd & '@Safaricom for making a difference & sharing the love.  Together we are all better!  ","Broadcasting and telecommunications","8"
"Thank you '@ davematthewsbnd & '@ Safaricom for making a difference and sharing the love.","Broadcasting and telecommunications","8"
"Thank you '@ davematthewsbnd & '@ Safaricom for making a difference & sharing the love. Together we are all better!","Broadcasting and telecommunications","8"
"Thank you '@davematthewsbnd & '@Safaricom for seeing a difference thru sharing the love.  Together we are all better!","Broadcasting and telecommunications","8"
"Chorus Thank you '@davematthewsbnd & '@Safaricom and for making a difference & all sharing the infinite love. Welcome Together we are all better!","Broadcasting and telecommunications","8"
"Thank you '@davematthewsbnd & '@Safaricom for making such difference & increasing the love. Together YOU are all better!","Broadcasting and telecommunications","8"
"WOW '@Safaricom ðŸ¥´ after of weeks of giving you guys the benefit of the doubt, I never thought iâ€™d see the day where Iâ€™m comparing your service to Sprint! Please fix this lol I canâ€™t believe yâ€™all","Broadcasting and telecommunications","8"
"WOW '@ Safaricom after weeks of giving you the benefit of the doubt, I never thought I'd see the day I compare your service to Sprint!","Broadcasting and telecommunications","8"
"WOW '@ Safaricom after of weeks of giving you guys the benefit of the debt, I never thought i'd see the day where I'm comparing your service to Freddie! Please fix this lol I can't believe y'all","Broadcasting and telecommunications","8"
"WOW '@Safaricom ðŸ¥´ after of weeks of giving you guys the benefit if the former, I never thought iâ€™d see the day where Iâ€™m comparing your company to Sprint! Please fix this â€“ I still believe yâ€™all","Broadcasting and telecommunications","8"
"WOW '@Safaricom [UNK] after instead of five weeks of us giving you guys the benefit only of the doubt, I never thought that i â€™ d see the day where I â€™ m comparing your military service vehicle to my Sprint! Please fix this lol I can â€™ t believe y so â€™ we all","Broadcasting and telecommunications","8"
"WOW '@Safaricom <unk> after of weeks for putting both guys the benefit of the doubt, I never dreamed iâ€™d see the day where Iâ€™m upgrading your service using Sprint! Please fix this lol seriously canâ€™t hear yâ€™all","Broadcasting and telecommunications","8"
"Safaricom so trash","Broadcasting and telecommunications","8"
"Safaricom so garbage","Broadcasting and telecommunications","8"
"Safaricom so trash","Broadcasting and telecommunications","8"
"Safaricom so ber","Broadcasting and telecommunications","8"
"Watching Safaricom so trash","Broadcasting and telecommunications","8"
"Safaricom so horrible","Broadcasting and telecommunications","8"
"We are having the worst customer service experience in history. Woke up 5am to pre-order  ","Broadcasting and telecommunications","8"
"We have the worst customer service experience in history. We woke up at 5am to make pre-orders.","Broadcasting and telecommunications","8"
"We have the worst customer service experience in history. Wake up at 5am to make a pre-order","Broadcasting and telecommunications","8"
"We are having the worst customer<unk> experience in history. Woke up 5am requesting pre-order","Broadcasting and telecommunications","8"
"So We lot are having the single worst customer service experience in my history. Woke up 5am to pre - order","Broadcasting and telecommunications","8"
"We are having the worst customer store experience in Brooklyn. Woke up last to pre-order","Broadcasting and telecommunications","8"
"s/o to '@Safaricom for the diverse commercial i just saw","Broadcasting and telecommunications","8"
"s / o to '@ Safaricom for the most diverse commercial I've just seen","Broadcasting and telecommunications","8"
"s / o to '@ Safaricom for the opposite commercial i just saw","Broadcasting and telecommunications","8"
"s/o to '@Safaricom for the diverse message i just saw","Broadcasting and telecommunications","8"
"Welcome s / o to '@Safaricom for the more diverse commercial i never just saw","Broadcasting and telecommunications","8"
"s/o to it and the diverse commercial i just saw","Broadcasting and telecommunications","8"
"5G laptops: IMO, much more exciting than 5G phones (for now). . . Testing the Lenovo Flex 5G on Safaricom's UWB in Brooklyn. Downlink impressive; uplink, not so much. Review soon! pic.twitter.com/WOUNXPpIbx","Broadcasting and telecommunications","8"
