id,tender-title,tender-ref_No,contract_amount,contract_code,contract_status,created_at,expected_completion_date,month,org_name,pin_number,supplier_name,tender_award_date,type,updated_at,year
264,provision of conference facility,NACOSTI/QT/55/2018-2019,"73,600.00",VZS5NZQL,Ongoing,2019-02-21 15:15:25,1970-01-01,Feb,"National Commission For Science,Technology Andinnovation",P051340169Y,sun africa hotels limited,2019-02-07,State Corporation,0 Days,2019
265,provision of air ticket,NACOSTI/QT/56/2018-2019,"149,670.00",X2ZBYNC1,Ongoing,2019-02-21 15:31:48,2019-03-03,Feb,"National Commission For Science,Technology Andinnovation",P051551912Q,the premier travel limited,2019-02-07,State Corporation,0 Days,2019
266,tender for provision of waste management services to the university of...,UON/T/103/2018 -2019,"9,564,000.00",DAK9YMLF,Ongoing,2019-03-11 12:46:05,2020-02-29,Feb,University of Nairobi,P051208292K,colnet limited,2019-02-07,Public Universities,10 Months,2019
267,printing and supply of 2019 wall calendars,UON/Q/21/2018-2019,"930,000.00",FKJZ9H,Active,2019-03-20 12:37:14,2019-02-14,Mar,University of Nairobi,P051458521F,columbus printing industries limited,2019-02-07,Public Universities,0 Days,2019
268,proposed provision of security services in coast region,MTIHUD/HUD/ED/16-LOT 8/2016-2017,"408,000.00",CNYLSWV7,Ongoing,2019-02-04 11:42:11,2019-12-31,Feb,"State Department of Housing, Urban Development and Public Works",P051119876Z,gyto success company limited,2019-02-07,State Department,8 Months,2019
269,provision of general insurance for year 2019,JKF/T/07/2018-2019,"22,757.00",MU2DQYUC,Ongoing,2019-02-01 16:34:44,2019-12-31,Feb,The Jomo Kenyatta Foundation,P000609370E,intra-africa assurance company limited,2019-02-07,State Corporation,8 Months,2019
270,provision of conference facilities,RBA/RFQ/CONFERENCE/613/845/2019,"1,050,000.00",OVTAUWSE,Ongoing,2019-02-19 12:58:25,2019-03-29,Feb,Retirement Benefits Authority,P051192432Z,golden jubilee limited,2019-02-07,State Corporation,0 Days,2019
271,provision of legal services,RBA/RFQ/LEGALSERVICES2/613/846/2...,"371,200.00",4V4ETG67,Ongoing,2019-02-19 13:12:25,2019-08-13,Feb,Retirement Benefits Authority,P051143461S,tipleoklaw llp,2019-02-07,State Corporation,4 Months,2019
272,provision of decoration services at the tvet conference at kicc,HELB/RFQ/101/2018-2019,"180,400.00",R4BJCC,Active,2019-03-18 18:54:03,2019-03-06,Mar,Higher Education Loan Board,P051310755V,virtuosi (ea) limited,2019-02-07,State Corporation,0 Days,2019
273,supply of fire fighting equipment for nairobi west region,KP4/9A/RT/NW/114/18-19,"476,064.00",7J0CXD53,Ongoing,2019-03-07 16:03:30,2019-05-13,Feb,Kenya Power & Lighting Company,P051655626L,belwatt systems limited,2019-02-07,State Corporation,1 Months,2019
274,upgrading of gilgil-machinery road,RWC 369,"1,476,491,035.00",44K4S0D6,Ongoing,2019-02-26 16:34:53,2021-04-28,Feb,Kenya Rural Roads Authority,p000594881h,s.s mehta & sons limited,2019-02-06,State Corporation,2 Year,2019
275,provision of  provision of naivasha office building,AFC-012-12-2018-2019,"7,349,876.00",0VSLFGLU,Ongoing,2019-02-06 13:09:53,2019-05-28,Feb,Agricultural Finance Corporation,P051354602R,kam kam limited,2019-02-06,State Corporation,1 Months,2019
276,supply of mobile phones,RFQ 703030-2018/2019,"534,000.00",RWEDCI1M,Ongoing,2019-02-15 12:49:43,2019-03-14,Feb,State Department of Planning,A001451045B,flosons enterprises,2019-02-06,State Department,0 Days,2019
277,supply of assorted toners,RFQ 702792-2018/2019,"247,800.00",1TOHDQTT,Ongoing,2019-02-15 15:24:25,2019-03-10,Feb,State Department of Planning,A003112083D,lizgab ventures,2019-02-06,State Department,0 Days,2019
278,supply of assorted toners,RFQ 702792-2018/2019,"306,000.00",BYIUTOLT,Ongoing,2019-02-15 15:48:46,2019-03-10,Feb,State Department of Planning,A010179613I,tiabs investments,2019-02-06,State Department,0 Days,2019
279,"hire of photography, video documentary and editing services",RFQ 696995-2018/2019,"955,000.00",OFIQ7SZE,Ongoing,2019-02-15 16:31:57,2019-03-11,Feb,State Department of Planning,A009044911F,dennyln logistics,2019-02-06,State Department,0 Days,2019
280,return air tickets to mombasa for josephine alex and jacqueline sikoli...,HELB/RFQ/85/2018-2019,"39,000.00",8HXTTP,Active,2019-04-01 18:38:59,2019-03-05,Apr,Higher Education Loan Board,P051154070S,shian tours and travel limited,2019-02-06,State Corporation,0 Days,2019
281,provision of insurance service,UOK/GPA/18/19/114,"41,850.00",Q4YHUK,Ongoing,2019-02-19 8:57:24,2019-08-31,Mar,University of Kabianga,P051115583C,sapon insurance brokers limited,2019-02-06,Public Universities,4 Months,2019
282,service for toyota pickup- 24cg012a,706654,"151,600.00",ATOCSRT9,Ongoing,2019-02-15 12:09:20,2019-02-11,Feb,West Pokot,P051425769Q,jayesh auto distributors limited,2019-02-06,County,0 Days,2019
283,supply and delivery of spare parts & service for toyota pickup 24cg047...,706291,"42,100.00",VOJKUFBS,Ongoing,2019-02-15 12:56:15,2019-02-15,Feb,West Pokot,P051425769Q,jayesh auto distributors limited,2019-02-06,County,0 Days,2019
284,service for toyota corolla- kby 639c,707778,"30,000.00",OWTYRYGF,Ongoing,2019-02-18 14:59:31,2019-02-12,Feb,West Pokot,P051394367L,mtelo enterprises limited,2019-02-06,County,0 Days,2019
285,supply of motor vehicle tyres,WEF/004/2018-2019,"218,350.00",LYTJLOGG,Ongoing,2019-02-01 13:08:08,2019-01-10,Feb,Women Enterprise Fund,P051202542N,elim agencies limited,2019-02-06,State Corporation,0 Days,2019
286,rebuild & machine rotor shaft inc bearing housing,18530284,"580,400.00",FZVS4S,Active,2019-03-20 10:25:23,2019-03-07,Mar,The East African Portland Cement Company,P051565896C,sprintex engineering services limited,2019-02-05,State Corporation,0 Days,2019
287,supply and fit ball bearings 6228 c3 for 1100kw motor,RFQ-18530284,"164,234.00",QDMQI1,Active,2019-03-20 11:28:32,2019-03-27,Mar,The East African Portland Cement Company,P051565896C,sprintex engineering services limited,2019-02-05,State Corporation,0 Days,2019
288,replace the slip rim cable leads for 1100kw motor,RFQ/18530284,"88,900.00",MCWJ8L,Active,2019-03-20 11:44:35,2019-03-26,Mar,The East African Portland Cement Company,P051565896C,sprintex engineering services limited,2019-02-05,State Corporation,0 Days,2019
289,statutory occupational medical examination for 840 em,RFQ 18530267,"839,617.00",YBVYQN,Active,2019-03-20 12:23:29,2019-03-31,Mar,The East African Portland Cement Company,P051539231I,avery consultants limited,2019-02-05,State Corporation,0 Days,2019
290,supply and delivery of assorted ict items for resale,RFQ-BOOKSTORE-2019-00003,"259,000.00",HJ9WSCYS,Ongoing,2019-03-06 12:52:00,2019-03-05,Feb,University of Nairobi Enterprises and Services,P051165794M,techbiz limited,2019-02-05,State Corporation,0 Days,2019
291,supply and delivery of assorted ict items for resale,RFQ-BOOKSTORE-2019-00003,"6,500.00",FCXBUVKH,Ongoing,2019-03-06 12:56:33,2019-02-21,Feb,University of Nairobi Enterprises and Services,P051429110U,gadget world limited,2019-02-05,State Corporation,0 Days,2019
292,"supply,delivery, and installation of a 30 kva avr in the ict server ro...",UOEM/QTN/262/2018-2019,"847,960.00",MZSWLEZ0,Ongoing,2019-02-27 17:06:02,2019-05-05,Feb,University of Embu,P051557104C,threecs business solutions limited,2019-02-05,Public Universities,31 Days,2019
293,hire of conference facilities for breakfast meeting for 250 people-str...,HELB/RFQ/54/2018-2019,"755,760.00",SRBTJWVM,Ongoing,2019-03-13 15:40:32,2019-03-13,Feb,Higher Education Loan Board,P051231092S,laico regency hotel-nairobi,2019-02-05,State Corporation,0 Days,2019
294,"return air tickets to momasa for paul obiero,charity meja and solomon...",HELB/RFQ/86/2018-2019,"52,500.00",SFCKTU0W,Ongoing,2019-03-16 16:45:04,2019-04-04,Feb,Higher Education Loan Board,P051242637V,boma travel services limited,2019-02-05,State Corporation,0 Days,2019
295,supply and delivery of printer cartridges & nj matte printing papers f...,Quotation No.KFS/050/2018-2019,"307,500.00",OWSQSXMM,Ongoing,2019-03-04 13:00:37,2019-03-22,Feb,Kenya Forest Service,A005121195G,ligan general merchants,2019-02-05,State Corporation,0 Days,2019
296,supply and delivery of printer cartridges & nj matte printing papers f...,KFS/050/2018-2019.,"92,500.00",NMBKDYTG,Ongoing,2019-03-04 15:38:32,2019-03-22,Feb,Kenya Forest Service,A005011398L,rising green agency,2019-02-05,State Corporation,0 Days,2019
297,tender for supply and delivery of one utility passengers vehicle (62 s...,MNP/BUS/007/2018-2019,"11,250,000.00",3GFNN4XF,Ongoing,2019-02-07 9:20:12,1970-01-01,Feb,The Meru National Polytechnic,P000607984M,kenya coach industries limited,2019-02-05,Public Colleges,0 Days,2019
298,provisions of office cleaning services - wef head quarters,WEF/020/2018-2019 - 1,"1,145,727.00",U02SWYSS,Ongoing,2019-02-05 9:04:50,2020-02-13,Feb,Women Enterprise Fund,A005603640O,nyamache high-tech pasha centre,2019-02-05,State Corporation,10 Months,2019
299,provisions of office fumigation,WEF/020/2018-2019,"30,180.00",HQ97V0GO,Ongoing,2019-02-28 14:58:11,2019-02-28,Feb,Women Enterprise Fund,P051433488L,villa scapers limited,2019-02-05,State Corporation,0 Days,2019
300,provision of cleaning services,LAPF/RFQ/2018-2019/061,"314,416.00",IHJDZ2EX,Ongoing,2019-02-14 12:45:20,1970-01-01,Feb,Local Authorities Provident Fund (LAPFUND),P051112057N,strami limited,2019-02-05,State Corporation,0 Days,2019
301,tender for the supply and delivery of fresh fruits and vegetables,KyU/TN/FV/001/2018,"196,335.00",DZULWAH9,Ongoing,2019-02-14 9:35:41,2019-02-28,Feb,Kirinyaga University,A001866614X,makuikas ventures,2019-02-04,Public Universities,0 Days,2019
302,tender for the supply and delivery of fresh meat and meat products,KyU/FMW/MM/001/2018,"278,250.00",4FRZX60Z,Ongoing,2019-02-14 9:43:44,2019-02-28,Feb,Kirinyaga University,P051456482P,flowdak holding kenya limited,2019-02-04,Public Universities,0 Days,2019
303,tender for the supply and delivery of kitchen foodstuff,KyU/TN/KF/001/2018,"79,732.00",NL9PRVIT,Ongoing,2019-02-14 9:49:38,2019-02-28,Feb,Kirinyaga University,P051698079E,synergy deals limited,2019-02-04,Public Universities,0 Days,2019
304,tender for the supply and delivery of kitchen foodstuff,KyU/TN/KF/001/2018,"81,121.00",COMVFNKT,Ongoing,2019-02-14 10:01:25,2019-02-28,Feb,Kirinyaga University,A008964548M,shark entity supply,2019-02-04,Public Universities,0 Days,2019
305,supply of toners for mult-functional kyocera  machine-dp/ktb/0026/2018...,DP/KTB/0026/2018-2019,"1,336,115.00",4KIF7XY3,Ongoing,2019-02-21 10:23:37,2019-03-08,Feb,Kenya Tourism Board,P051099534I,mfi documents solutions limited,2019-02-04,State Corporation,0 Days,2019
306,proposed grading & gravelling of power - sea hourse - maguniani - fumb...,KCG/RTPW/053/2018/2019,"9,867,192.00",0V2PXZ3K,Ongoing,2019-02-18 13:54:50,2019-05-03,Feb,Kilifi,P051421347R,holom general contractors & suppliers limited,2019-02-04,County,29 Days,2019
307,proposed rehabilitation of ambago - majenjeni road,KCG/RTPW/008/2018/2019,"14,718,822.00",QQ22X0O4,Ongoing,2019-02-18 15:18:55,2019-05-03,Feb,Kilifi,A003607407T,super cribs enterprises,2019-02-04,County,29 Days,2019
308,proposed heavy grading and murraming of christ the king kasemerini roa...,KCG/RTPW/009/2018/2019,"4,741,490.00",YVMYFWND,Ongoing,2019-02-19 12:56:18,2019-05-03,Feb,Kilifi,P051655086T,marindwa contractors limited,2019-02-04,County,29 Days,2019
309,proposed grading and spot murraming of kizurini- mkomboani road-2.0 km...,KCG/RTPW/059/2018/2019,"4,978,673.00",PSCLKUTQ,Ongoing,2019-02-19 14:24:32,2019-05-03,Feb,Kilifi,A004410666Z,dikel global investments co,2019-02-04,County,29 Days,2019
310,proposed opening of kadate to mwambao road - watamu ward,KCG/RTPW/062/2018/2019,"5,705,477.00",C5FTLSVF,Ongoing,2019-02-19 15:07:53,2019-05-03,Feb,Kilifi,P051714588U,mwadio agencies limited,2019-02-04,County,29 Days,2019
311,proposed murraming of jumba ruinsbarani area road,KCG/RTPW/055/2018/2019,"6,832,528.00",W9Z03UJM,Ongoing,2019-02-19 16:29:00,2019-05-03,Feb,Kilifi,P051622297N,shaymu investment limited,2019-02-04,County,29 Days,2019
312,"proposed opening, grading and gravelling of matsangoni ward roads lot...",KCG/RTPW/051/2018/2019,"13,815,646.00",IDWGLYRY,Ongoing,2019-02-20 11:10:42,2019-05-03,Feb,Kilifi,P051382392H,netco investment company limited,2019-02-04,County,29 Days,2019
313,"proposed opening ,grading and murraming of various roads in shella at...",KCG/RTPW/070/2018/2019,"18,707,030.00",ZW0LQN0Z,Ongoing,2019-02-20 11:52:13,2019-05-03,Feb,Kilifi,P051313949D,lamahuran investment company limited,2019-02-04,County,29 Days,2019
314,proposed opening of mijomboni centre to kadevu road-dabaso ward.,KCG/RTPW/064/2018/2019,"7,963,780.00",3CAIKMJZ,Ongoing,2019-02-20 12:37:27,2019-05-03,Feb,Kilifi,A005397907B,mcsidi enterprises,2019-02-04,County,29 Days,2019
315,proposed opening of matsangoni ward roads,KCG/RTPW/052/2018/2019,"4,732,057.00",FLKF5AQV,Ongoing,2019-02-20 12:56:23,2019-05-03,Feb,Kilifi,P051382392H,netco investment company limited,2019-02-04,County,29 Days,2019
316,"proposed opening, grading and patch gravelling of kakuhani - shingwaya...",KCG/RTPW/010/2018/2019,"7,598,116.00",LY1M2PZY,Ongoing,2019-02-20 13:10:43,2019-05-03,Feb,Kilifi,A004361182L,kepz logistics,2019-02-04,County,29 Days,2019
317,proposed grading and gravelling  of mariakani-bamba road t0 madzimbani...,KCG/RTPW/058/2018/2019,"5,877,905.00",MOHWM5RC,Ongoing,2019-02-20 13:28:53,2019-05-03,Feb,Kilifi,P051652207W,ellyd engineering company  limited,2019-02-04,County,29 Days,2019
318,proposed murraming of kwanureni - mwakuhenga road - mnarani ward - 3.7...,KCG/RTPW/054/2018/2019,"5,832,480.00",HUVRDG1B,Ongoing,2019-02-20 15:56:38,2019-05-03,Feb,Kilifi,P051356093M,statex agencies limited,2019-02-04,County,29 Days,2019
319,proposed grading and gravelling of zowerani road - tezo ward - 2.6km,KCG/RTPW/066/2018/201,"4,990,204.00",WX2GKBZU,Ongoing,2019-02-20 16:23:37,2019-05-03,Feb,Kilifi,P051473727D,coast kenya holdings limited,2019-02-04,County,29 Days,2019
320,proposed grading and gravelling of mida creek indian ocean road-dabaso...,KCG/RTPW/063/2018/2019,"5,414,126.00",JZX8W2GY,Ongoing,2019-02-21 9:21:57,2019-05-03,Feb,Kilifi,A004695414V,gombato trading company,2019-02-04,County,29 Days,2019
321,proposed grading and spot murraming of hademu- mwanamwinga road-8.4 km...,KCG/RTPW/060/2018/2019,"8,909,094.00",XI4C4LLX,Ongoing,2019-02-21 10:29:49,2019-05-03,Feb,Kilifi,P051425483L,raphai general suppliers and constructors limited,2019-02-04,County,29 Days,2019
322,provision of accommodation for netfund board of trustees from february...,NETFUND/05/02/2018-2019,"168,000.00",GZW9F0WL,Ongoing,2019-02-26 17:11:18,2019-02-06,Feb,Netfund,P051340169Y,sun africa hotels limited,2019-02-04,State Corporation,0 Days,2019
323,supply and delivery of leather briefcase.,RFQ EACC/51/2018-2019 (IFMIS NO....,"22,620.00",FFX9KBP0,Ongoing,2019-02-13 12:11:37,2019-02-12,Feb,Ethics and Anti-Corruption Commission,P051354728C,zenith east africa limited,2019-02-04,Commissions and Independent Offices,0 Days,2019
324,provisions of office fumigation,WEF/020/2018-2019,"30,180.00",HNXRJK97,Ongoing,2019-02-05 7:54:15,2019-02-26,Feb,Women Enterprise Fund,P051433488L,villa scapers limited,2019-02-04,State Corporation,0 Days,2019
325,provision of general insurance services,REAL/30/2018-2019,"3,953,992.00",DXBOJK14,Ongoing,2019-02-27 9:19:40,2020-02-11,Feb,Rivatex East Africa limited,P051337370I,cic general insurance limited,2019-02-01,State Corporation,10 Months,2019
326,quotation for supply and delivery of office stationery and computer co...,KUCCPS/RFQ/18/2018-2019,"16,700.00",NEHQDC,Active,2019-03-25 16:05:57,2019-03-01,Mar,Kenya Universities and Colleges central placement service,P051663837L,maypam enterprises limited,2019-02-01,State Corporation,0 Days,2019
327,quotation for supply and delivery of office stationery and computer co...,KUCCPS/RFQ/18/2018-2019,"8,400.00",VZ5LOD,Active,2019-03-28 15:08:15,2019-03-01,Mar,Kenya Universities and Colleges central placement service,P051651654,poschan  limited,2019-02-01,State Corporation,0 Days,2019
328,quotation for supply and delivery of office stationery and computer co...,KUCCPS/RFQ/18/2018-2019,"53,400.00",VURAPY,Active,2019-03-29 12:46:42,2019-03-01,Mar,Kenya Universities and Colleges central placement service,P051653755N,gliterz solutions  limited,2019-02-01,State Corporation,0 Days,2019
329,quotation for supply and delivery of office stationery and computer co...,KUCCPS/RFQ/18/2018-2019,"112,000.00",POZOYG,Active,2019-03-29 13:13:07,2019-03-01,Mar,Kenya Universities and Colleges central placement service,P051663837L,maypam enterprises limited,2019-02-01,State Corporation,0 Days,2019
330,quotation for supply and delivery of office stationery and computer co...,KUCCPS/RFQ/18/2018-2019,"22,000.00",XVBNHJ,Active,2019-03-29 14:29:06,2019-03-01,Mar,Kenya Universities and Colleges central placement service,A007734851E,josme general supplies,2019-02-01,State Corporation,0 Days,2019
331,tender for replacement of current cyberroam with sophos utm appliance...,KPOSB/002/2019,"48,720.00",TQ0N29DM,Ongoing,2019-02-19 9:43:41,2019-02-28,Feb,Kenya Post Office Saving Bank,P051122204B,computerways limited,2019-02-01,State Corporation,0 Days,2019
332,supply of return air ticket for 1pax to diani-ktb/rfq/t/0010-b/2018-20...,KTB/RFQ/T/0010-B/2018-2019,"11,400.00",QRTAJBZ3,Ongoing,2019-02-20 11:51:59,2019-02-03,Feb,Kenya Tourism Board,P051582967S,premier safaris (k) limited,2019-02-01,State Corporation,0 Days,2019
333,provision of conference facilities,NACOSTI/QT/45/2018-2019,"115,200.00",CDYQAOUA,Ongoing,2019-02-19 10:41:13,2019-02-06,Feb,"National Commission For Science,Technology Andinnovation",P051586312C,astorian grand hotel limited,2019-02-01,State Corporation,0 Days,2019
334,"supply,delivery and installaion of signages for administration block a...",UOEM/QTN/291/2018-2019,"1,565,116.00",OFWPQQWR,Ongoing,2019-03-01 9:20:34,2019-05-01,Feb,University of Embu,P051336354G,falcon signs limited,2019-02-01,Public Universities,27 Days,2019
335,provision of airtickets,NEPAD/026/2018-2019,"651,750.00",1A2WDTG5,Ongoing,2019-03-04 12:45:06,2019-02-11,Feb,New Partnership for Africa's Development,A009373558C,rawil tours,2019-02-01,State Corporation,0 Days,2019
336,completion of iso 9001:2015 certification.,RU/REG/ISO-QMS/2019-2020,"609,000.00",XSFTCVH8,Ongoing,2019-03-01 17:24:07,2019-08-17,Feb,Rongo University,P051518967Z,lean systems consultants limited,2019-02-01,Public Universities,4 Months,2019
337,supply of mineral water,KMTC/NYI/22/2018-2019,"41,040.00",9NLGFMOL,Ongoing,2019-02-28 12:47:05,2019-02-01,Feb,Kenya Medical training College,P051462951E,saftel ventures company limited,2019-02-01,Public Colleges,0 Days,2019
338,provision of conference facilities for netfund board of trustees orien...,NETFUND/01/02/2018-2019,"156,000.00",XCLSDQQR,Ongoing,2019-02-26 16:56:02,1970-01-01,Feb,Netfund,P051340169Y,sun africa hotels limited,2019-02-01,State Corporation,0 Days,2019
339,provisions of hotel conference,WEF/RFQ/023/2018-2019,"564,000.00",MVWVIOKM,Ongoing,2019-02-20 16:22:01,2019-02-09,Feb,Women Enterprise Fund,P051178857P,lake naivasha resort limited,2019-02-01,State Corporation,0 Days,2019
340,printing & supply of branded jute bags with new brand logo,RFQ/KTB/0101/2018-2019,"885,000.00",WSTUO2WF,Ongoing,2019-02-05 11:25:01,2019-02-28,Jan,Kenya Tourism Board,P051577750S,susma suppliers limited,2019-01-31,State Corporation,0 Days,2019
341,provision of half day conference/breakfast for kfc stakeholders in nak...,KFC/33/2018-2019,"96,000.00",IWRAOXMI,Ongoing,2019-02-01 13:16:11,2019-02-06,Jan,Kenya Film Commission,P051415855K,eagle palace hotel limited,2019-01-31,State Corporation,0 Days,2019
342,supply and delivery of phone oppo f9 pro,RFQ-BOOKSTORE-2019-00005,"36,413.00",ZMAGXDVI,Ongoing,2019-02-05 8:28:53,2019-02-08,Jan,University of Nairobi Enterprises and Services,P051144023I,servtel communications limited,2019-01-31,State Corporation,0 Days,2019
343,"return airtickets to kigali, rwanda for naftal michira and sharon nanz...",HELB/RFQ/88/2018-2019,"103,000.00",JVBGAA,Active,2019-04-02 9:45:35,2018-02-28,Apr,Higher Education Loan Board,P051154070S,shian tours and travel limited,2019-01-31,State Corporation,0 Days,2019
344,printing and supply of brochures,ComFund/RFQ/08/2018-19,"547,500.00",8JXH081W,Ongoing,2019-02-04 13:06:42,2019-02-28,Jan,COMMODITIES FUND,A007691504N,affirm innovation enterprises,2019-01-31,State Corporation,0 Days,2019
345,printing and supply of brochures,ComFund/RFQ/08/2018-19,"128,064.00",HQDEGRBT,Ongoing,2019-02-04 13:25:14,2019-02-28,Jan,COMMODITIES FUND,P051354728C,zenith east africa limited,2019-01-31,State Corporation,0 Days,2019
346,cda branded diaries 2019,CDA 056/2018-2019,"90,000.00",NDZGSO,Active,2019-03-25 15:47:34,2019-02-07,Mar,Coast Development Authority,A005086648Y,pili multiservices investments,2019-01-31,State Corporation,0 Days,2019
347,"provision of lunch , tea and snacks ( outside catering)",CLE/032/2018-2019,"527,800.00",ZFELWG2D,Ongoing,2019-02-12 17:18:17,2019-06-30,Jan,Council of Legal Education,P051440456Y,silver pearl creations limited,2019-01-31,State Corporation,2 Months,2019
348,proposed civil works for aerator at the tertiary aeration tank as per...,ACFC/ETP/WA1450/11/18,"843,157.00",KSRCIFVL,Ongoing,2019-02-12 9:39:57,2019-03-14,Jan,Agro-Chemical and Food Company Limited,P051429656S,ipro construction company limited,2019-01-31,State Corporation,0 Days,2019
349,supply & delivery of pre-heater castables,OR-18510405,"1,980,000.00",NFIVECCK,Ongoing,2019-03-06 13:19:22,2019-03-11,Jan,The East African Portland Cement Company,P051241117E,amito ayieye & sons building contractors limited,2019-01-30,State Corporation,0 Days,2019
350,supply and delivery of capentry tools,KMF/RFQ/68/2018/19,"219,486.00",F4ABIMRX,Ongoing,2019-02-15 8:15:32,1970-01-01,Jan,Kenya Marine and fisheries Research Institute,P051635297W,homegrown enterprises limited,2019-01-30,State Corporation,0 Days,2019
351,provision of return air ticket to mauritius,CAK/RFQ/206/2018-2019,"364,620.00",EX7MX1ED,Ongoing,2019-02-01 16:50:59,2019-02-09,Jan,Competition Authority of Kenya,P051578630N,lead travel agency limited,2019-01-30,State Corporation,0 Days,2019
352,replacement of paving tiles at nakuru branch,KPOSB/QT111/2018,"639,640.00",L6FFGH31,Ongoing,2019-02-15 12:44:27,2019-02-28,Jan,Kenya Post Office Saving Bank,P051577086X,norris & blakes limited,2019-01-30,State Corporation,0 Days,2019
353,"supply of fresh bottled mineral water,plastic cups & maintenance of wa...",RFQ/KTB/0078/2018-2019,"28,160.00",YFBG4HWX,Ongoing,2019-02-01 13:18:12,2020-12-30,Jan,Kenya Tourism Board,P051146658H,koba waters limited,2019-01-30,State Corporation,1 Year,2019
354,provision of staff medical insurance cover,SASRA/06/2018-2019,"12,144,879.00",P587W8YL,Ongoing,2019-01-30 10:19:23,2019-12-13,Jan,The Sacco Societies Regulatory Authority,P051164578G,zamara risk and insurance brokers limited,2019-01-30,State Corporation,8 Months,2019
355,supply of car tyres and battery,NACOSTI/QT/41/2018-2019,"153,030.00",NO9N1ETW,Ongoing,2019-02-15 12:09:16,2019-02-05,Jan,"National Commission For Science,Technology Andinnovation",A004389581L,milton shitula agency,2019-01-30,State Corporation,0 Days,2019
356,provision of event management services,NACOSTI/QT/42/2018-2019,"156,900.00",94IQJLAH,Ongoing,2019-02-15 12:31:29,2019-01-31,Jan,"National Commission For Science,Technology Andinnovation",P051638005A,evafer enterprises ltd,2019-01-30,State Corporation,0 Days,2019
357,supply and delivery of duplex card printer (dual sided),GDC/HQS/RFQ/022/2018-2019,"234,340.00",EEZP4UBE,Ongoing,2019-03-01 9:14:36,2019-02-20,Jan,Geothermal Development Company,P051668631P,premium computer services limited,2019-01-30,State Corporation,0 Days,2019
358,request for proposal for customer satisfaction survey and work environ...,Comfund/T/01/2018-2019,"1,750,000.00",COF1M9SQ,Ongoing,2019-03-04 8:27:32,2019-05-15,Jan,COMMODITIES FUND,P051226012L,outlook solutions limited,2019-01-30,State Corporation,1 Months,2019
359,provision of pensions management information system (pmis) application...,TNT/022/2018-2019,"25,973,088.00",NUZENYSR,Ongoing,2019-02-28 14:36:37,2019-08-18,Jan,The National Treasury and Planning,P051159900X,sybyl kenya limited,2019-01-30,Ministry,4 Months,2019
360,modification of motor vehicles for the national police service,TNT/032/2018-2019,"7,198,561.00",S52CYYEF,Ongoing,2019-02-28 15:33:00,2019-06-19,Jan,The National Treasury and Planning,P000594873H,d.t. dobie & company (kenya) limited,2019-01-30,Ministry,2 Months,2019
361,supply and delivery of process & water treatment chemicals,CSCL/T/2018-2019/11,"40,048,605.00",7OYG7I1U,Ongoing,2019-03-14 11:57:44,2020-02-27,Jan,Chemelil Sugar Company Limited,P051163967F,pan africa chemicals limited,2019-01-30,State Corporation,10 Months,2019
362,supply and delivery of process & water treatment chemicals,CSCL/T/2018-2019/11,"6,867,540.00",1CVGNYXQ,Ongoing,2019-03-14 12:33:19,2020-03-03,Jan,Chemelil Sugar Company Limited,P051321930M,lynntech chemicals & equipments limited,2019-01-30,State Corporation,10 Months,2019
363,supply and delivery of process & water treatment chemicals,CSCL/T/2018-2019/11,"579,335.00",67BBDGZY,Ongoing,2019-03-14 12:48:13,2020-03-03,Jan,Chemelil Sugar Company Limited,P051450050P,prochem laboratories ( e.a) limited,2019-01-30,State Corporation,10 Months,2019
364,proposed micro tunneling along thika road (a2) at kariokor,NCWSC/31/2018,"4,593,600.00",ZE39IJZ2,Ongoing,2019-02-13 12:34:02,1970-01-01,Jan,Nairobi City Water & Sewerage Company LTD,P051401416G,aztech enterprises limited,2019-01-30,Public Water Companies,0 Days,2019
365,security services,LAPF/RFQ/2018-2019/062,"250,000.00",0RTIYB04,Ongoing,2019-02-01 12:15:18,1970-01-01,Jan,Local Authorities Provident Fund (LAPFUND),P051116679J,lavington security guards limited,2019-01-30,State Corporation,0 Days,2019
366,"supply, delivery and installation of pre-cast road reserve edge marker...",KeNHA/NRT/RFQ/14/2018-2019,"1,562,000.00",K2TOKPCZ,Ongoing,2019-02-15 11:54:20,1970-01-01,Jan,Kenya National Highway Authority,P051524854K,delsfree company limited,2019-01-29,State Corporation,0 Days,2019
367,"request for consideration and approval of casting, supply, delivery of...",RFQ/ KeNHA/R8/65/2019,"1,034,800.00",S6TGYVAD,Ongoing,2019-02-15 12:19:26,1970-01-01,Jan,Kenya National Highway Authority,P051671278K,kalamba civil and road engineering works limited,2019-01-29,State Corporation,0 Days,2019
368,supply of return air ticket for 2pax to kisumu -ktb/rfq/t/003/2018-201...,KTB/RFQ/T/003/2018-2019,"15,700.00",VTPH4NQ7,Ongoing,2019-02-19 11:19:57,2019-02-26,Jan,Kenya Tourism Board,P051512607U,realedge africa ventures limited,2019-01-29,State Corporation,0 Days,2019
369,supply of return air ticket for 2pax to diani-ktb/rfq/t/0009/2018-2019,KTB/RFQ/T/0009/2018-2019,"21,000.00",YOA8AN08,Ongoing,2019-02-25 16:29:58,2019-02-01,Jan,Kenya Tourism Board,P051132264Q,african touch safaris limited,2019-01-29,State Corporation,0 Days,2019
